ChargerID,ChargerCompany,Location,ChargerType
291,1,public institution,0
191,1,resort,0
320,1,camping,0
433,1,camping,0
250,1,public area,0
248,1,public institution,0
312,1,public area,0
260,1,public institution,0
211,1,company,0
64,1,apartment,0
204,1,company,0
238,1,public area,0
22,1,hotel,0
347,0,apartment,0
315,1,resort,0
377,1,public area,0
1220,1,public area,0
258,1,public area,0
118,1,public institution,0
3,1,company,0
492,1,company,0
551,0,public institution,0
69,1,apartment,0
305,0,resort,0
107,1,public area,0
974,0,resort,0
1555,0,public parking lot,1
269,0,company,0
936,0,public institution,1
667,1,company,0
491,1,company,0
1680,1,company,0
29,1,resort,0
331,1,company,0
101,1,company,0
1754,0,restaurant,0
1047,0,public area,1
664,1,company,0
354,0,apartment,0
33,1,apartment,0
571,1,company,0
475,1,public area,0
96,1,public area,0
108,1,restaurant,0
2114,0,resort,0
1553,0,restaurant,1
284,0,resort,0
283,0,resort,0
14,1,public area,0
619,0,public parking lot,1
512,1,public area,0
1421,0,public area,1
1480,0,public area,1
185,1,golf,0
56,1,public area,0
613,0,hotel,0
1264,0,sightseeing,1
286,0,hotel,0
84,1,public area,0
270,1,company,0
214,1,public area,0
9,1,hotel,0
161,1,public area,0
450,0,public parking lot,1
93,1,company,0
513,1,public area,0
26,1,public area,0
1118,0,public parking lot,1
1488,0,public parking lot,1
1254,0,resort,0
2016,0,public area,1
1973,0,public area,1
431,1,camping,0
579,1,apartment,0
300,0,hotel,0
205,1,public area,0
1141,0,public parking lot,0
663,1,company,0
2121,0,public parking lot,0
1250,0,sightseeing,0
357,0,public area,0
44,1,apartment,0
580,1,apartment,0
900,0,public parking lot,1
578,1,apartment,0
728,0,public parking lot,1
123,1,apartment,0
933,0,public institution,1
46,1,hotel,0
581,1,apartment,0
1051,0,public institution,1
59,1,apartment,0
350,0,apartment,0
52,1,apartment,0
430,1,camping,0
82,1,apartment,0
32,1,hotel,0
114,1,apartment,0
18,1,hotel,0
682,0,public parking lot,1
306,1,apartment,0
665,1,company,0
573,1,market,0
79,1,resort,0
1745,0,restaurant,1
177,1,apartment,0
140,1,apartment,0
20,1,resort,0
116,1,company,0
21,1,apartment,0
100,1,company,0
303,0,resort,0
83,1,public area,0
217,1,hotel,0
164,1,resort,0
343,0,apartment,0
10,1,hotel,0
267,1,company,0
5,1,apartment,0
171,1,golf,0
13,1,apartment,0
1512,0,hotel,0
80,1,public area,0
198,1,restaurant,0
1919,0,public parking lot,1
48,1,apartment,0
153,1,public area,0
1004,0,public parking lot,1
565,0,public area,1
237,1,company,0
34,1,restaurant,0
393,0,public institution,0
773,0,restaurant,1
592,0,sightseeing,1
88,1,apartment,0
327,1,market,0
564,0,public area,1
1289,0,public institution,0
253,1,resort,0
1646,0,public area,1
1393,0,resort,0
1983,0,public area,0
233,1,public area,0
550,0,public institution,1
452,0,public area,1
1412,0,public area,1
178,1,public area,0
105,1,hotel,0
68,1,resort,0
453,0,public parking lot,1
109,1,hotel,0
263,1,hotel,0
1140,0,public parking lot,0
37,1,company,0
287,1,apartment,0
224,1,public area,0
1093,0,sightseeing,1
662,1,company,0
813,0,public institution,0
128,1,hotel,0
1010,0,public institution,1
102,1,hotel,0
699,0,public parking lot,0
249,1,public institution,0
202,1,hotel,0
285,0,hotel,0
906,0,public institution,1
290,0,resort,0
2306,0,resort,0
1041,0,public parking lot,0
157,1,public institution,0
2315,0,public institution,1
2670,0,sightseeing,1
960,0,public area,1
2360,0,sightseeing,0
230,1,public area,0
1084,0,public area,1
16,1,apartment,0
45,1,company,0
90,1,public area,0
602,0,sightseeing,1
1892,0,public parking lot,0
232,1,apartment,0
904,0,public institution,1
456,0,hotel,0
530,0,public parking lot,1
1082,0,public institution,1
99,1,hotel,0
251,1,market,0
50,1,public area,0
326,1,public area,0
1079,0,public institution,1
1251,0,public institution,1
666,1,company,0
678,0,public parking lot,1
1014,0,public parking lot,1
1146,0,public institution,0
937,0,public institution,1
556,0,public institution,0
423,0,public area,1
126,1,resort,0
1103,0,public area,1
74,1,apartment,0
1516,0,sightseeing,0
1263,0,public parking lot,1
1813,0,public area,1
451,0,public parking lot,1
194,1,company,0
2584,0,company,0
1642,0,public area,1
1259,0,public area,1
349,1,hotel,0
307,1,public area,0
72,1,accommodation,0
242,1,golf,0
973,0,golf,0
555,0,public institution,0
81,1,company,0
1288,0,public institution,0
454,0,public parking lot,0
1610,0,company,0
1349,0,public institution,1
877,0,public parking lot,1
2607,0,market,1
117,1,public area,0
598,0,public area,1
23,1,public area,0
348,1,public area,0
246,1,resort,0
394,0,public area,1
1457,0,public parking lot,0
701,0,market,1
1116,0,public area,1
7,1,resort,0
154,1,public area,0
334,1,apartment,0
1164,0,resort,0
24,1,public institution,0
188,1,public area,0
363,0,public parking lot,1
1392,1,golf,0
2284,1,company,0
203,1,company,0
2448,0,resort,0
1589,0,restaurant,0
301,0,resort,0
221,1,public area,0
552,0,public institution,0
304,0,resort,0
236,1,market,0
1576,0,public institution,1
907,0,public area,1
425,0,public parking lot,1
244,1,company,0
28,1,apartment,0
958,0,public institution,0
455,0,hotel,0
146,1,company,0
1127,0,public area,1
190,1,company,0
483,1,hotel,0
2011,0,public institution,1
1513,0,hotel,1
1290,0,public area,0
1383,0,restaurant,1
1312,0,public institution,0
155,1,apartment,0
538,0,public parking lot,1
2587,0,sightseeing,1
1556,0,sightseeing,1
2320,0,market,1
1845,0,company,0
277,1,public area,0
1489,0,public parking lot,1
