Feature,Importance
num__ChargerHourHistoricalMean,0.11929545
num__HistoricalChargerMean,0.08337447
cat__ChargerType_0,0.027332824
cat__ChargerType_1,0.023918888
num__Hour,0.021320576
cat__ChargerID_267,0.012020868
cat__ChargerCompany_0,0.011386478
cat__ChargerID_573,0.01066702
cat__ChargerID_613,0.010543248
cat__Location_market,0.009875359
cat__ChargerID_555,0.008444201
cat__ChargerID_118,0.008403936
cat__ChargerID_19,0.008229995
num__PreviousChargerDemand,0.008115388
cat__ChargerCompany_1,0.008038137
cat__Location_hotel,0.008008611
cat__ChargerID_665,0.007897391
cat__ChargerID_1253,0.007894822
cat__ChargerID_1163,0.007870309
cat__ChargerID_377,0.007722141
cat__ChargerID_1748,0.007679118
cat__ChargerID_273,0.0076223174
cat__ChargerID_250,0.007612595
cat__ChargerID_14,0.007323419
cat__ChargerID_977,0.0071195834
cat__Location_resort,0.007101703
cat__ChargerID_287,0.0069963653
cat__ChargerID_1814,0.006979287
cat__ChargerID_433,0.0068267845
cat__ChargerID_251,0.006748578
cat__ChargerID_219,0.006747442
cat__ChargerID_23,0.006729329
cat__Location_golf,0.0067151715
num__IsWeekend,0.006677496
cat__Location_public area,0.0065867896
cat__Location_restaurant,0.006529788
cat__ChargerID_431,0.0064914627
cat__ChargerID_187,0.006426523
cat__ChargerID_291,0.0063778744
cat__ChargerID_491,0.006057046
cat__ChargerID_214,0.0060309903
cat__ChargerID_21,0.005990292
cat__ChargerID_89,0.005980606
cat__ChargerID_950,0.0059717186
cat__ChargerID_221,0.005959772
cat__ChargerID_1926,0.005943019
cat__Location_camping,0.005893044
cat__ChargerID_284,0.005849693
cat__ChargerID_13,0.005804616
cat__ChargerID_674,0.0057872646
cat__Location_company,0.00576942
cat__ChargerID_56,0.0057522133
cat__ChargerID_33,0.005748741
cat__ChargerID_278,0.005702606
cat__ChargerID_83,0.005699328
cat__ChargerID_557,0.0055863573
cat__ChargerID_1929,0.005585494
cat__ChargerID_200,0.0055657253
cat__ChargerID_1716,0.005499216
num__HistoricalLocationMean,0.005475197
cat__ChargerID_96,0.0053989934
cat__ChargerID_373,0.005380937
cat__ChargerID_66,0.005320188
cat__ChargerID_2316,0.005285241
cat__ChargerID_512,0.0052781156
cat__ChargerID_1342,0.0051305685
cat__ChargerID_1603,0.0050410614
cat__ChargerID_732,0.0050346553
cat__ChargerID_1538,0.004985734
cat__ChargerID_171,0.004976603
cat__ChargerID_49,0.0048762807
cat__ChargerID_2323,0.004845373
cat__ChargerID_107,0.004841128
cat__ChargerID_2395,0.00484033
cat__ChargerID_126,0.0048271827
cat__ChargerID_199,0.004763464
cat__ChargerID_1358,0.004744199
cat__ChargerID_1922,0.004716326
cat__ChargerID_140,0.0047123227
cat__ChargerID_162,0.0047001927
cat__ChargerID_211,0.004649853
cat__ChargerID_1749,0.0046312264
cat__ChargerID_735,0.004613748
cat__ChargerID_635,0.0045932303
cat__ChargerID_224,0.0045625046
cat__Location_public parking lot,0.004537462
cat__ChargerID_155,0.004536724
cat__ChargerID_375,0.0044651153
cat__ChargerID_371,0.004411074
cat__ChargerID_260,0.0043630684
cat__ChargerID_1047,0.0043102065
cat__ChargerID_362,0.0043101725
cat__ChargerID_1444,0.0043034446
num__Month,0.0042875265
cat__ChargerID_357,0.004237487
cat__ChargerID_175,0.004235589
cat__ChargerID_513,0.0041599465
cat__ChargerID_305,0.004156241
cat__ChargerID_349,0.004079956
cat__ChargerID_163,0.0040146876
cat__ChargerID_773,0.0040144706
cat__ChargerID_191,0.003993875
cat__ChargerID_865,0.003954704
cat__ChargerID_1256,0.0039167446
cat__ChargerID_374,0.0038835034
cat__ChargerID_914,0.0038795806
cat__ChargerID_2141,0.0038266466
cat__ChargerID_1860,0.0038220673
cat__ChargerID_931,0.0037804288
cat__ChargerID_45,0.0037736038
cat__ChargerID_111,0.0037457747
cat__ChargerID_2425,0.0037381304
cat__ChargerID_372,0.0037295453
cat__ChargerID_920,0.0037035786
cat__ChargerID_312,0.003647604
cat__ChargerID_2488,0.0036347958
cat__ChargerID_945,0.003617423
cat__ChargerID_208,0.003586833
cat__ChargerID_449,0.0035641657
cat__ChargerID_326,0.003558696
cat__ChargerID_52,0.0035529642
cat__ChargerID_1486,0.0035342292
cat__ChargerID_1123,0.0035304113
cat__ChargerID_888,0.0035301526
cat__ChargerID_108,0.0035230294
cat__ChargerID_1876,0.0034440972
cat__ChargerID_1833,0.0034108032
cat__ChargerID_1816,0.003383209
cat__Location_apartment,0.0033273827
num__Year,0.0033086466
cat__ChargerID_1991,0.0033001695
cat__ChargerID_481,0.0032755465
cat__ChargerID_1023,0.003193642
num__WeekOfYear,0.0028943862
cat__ChargerID_1804,0.0028939075
num__PreviousLocationDemand,0.0027985878
cat__ChargerID_26,0.0027830095
cat__ChargerID_740,0.0027348136
cat__ChargerID_1865,0.002666089
cat__ChargerID_1862,0.0026357519
cat__ChargerID_1236,0.0019369423
num__DayOfWeek,0.0018714742
cat__ChargerID_55,0.0017184266
cat__ChargerID_242,0.0013935334
num__DayOfMonth,0.0013901396
cat__ChargerID_770,0.0009429676
cat__ChargerID_1392,0.00082630065
cat__ChargerID_2068,0.00036498404
cat__ChargerID_72,0.0
cat__ChargerID_69,0.0
cat__ChargerID_68,0.0
cat__ChargerID_65,0.0
cat__ChargerID_64,0.0
cat__ChargerID_62,0.0
cat__ChargerID_102,0.0
cat__ChargerID_101,0.0
cat__ChargerID_100,0.0
cat__ChargerID_99,0.0
cat__ChargerID_97,0.0
cat__ChargerID_95,0.0
cat__ChargerID_93,0.0
cat__ChargerID_92,0.0
cat__ChargerID_91,0.0
cat__ChargerID_90,0.0
cat__ChargerID_88,0.0
cat__ChargerID_87,0.0
cat__ChargerID_85,0.0
cat__ChargerID_84,0.0
cat__ChargerID_120,0.0
cat__ChargerID_119,0.0
cat__ChargerID_117,0.0
cat__ChargerID_116,0.0
cat__ChargerID_114,0.0
cat__ChargerID_113,0.0
cat__ChargerID_112,0.0
cat__ChargerID_110,0.0
cat__ChargerID_109,0.0
cat__ChargerID_105,0.0
cat__ChargerID_104,0.0
cat__ChargerID_103,0.0
cat__ChargerID_146,0.0
cat__ChargerID_145,0.0
cat__ChargerID_139,0.0
cat__ChargerID_137,0.0
cat__ChargerID_136,0.0
cat__ChargerID_134,0.0
cat__ChargerID_132,0.0
cat__ChargerID_130,0.0
cat__ChargerID_129,0.0
cat__ChargerID_128,0.0
cat__ChargerID_127,0.0
cat__ChargerID_125,0.0
cat__ChargerID_123,0.0
cat__ChargerID_121,0.0
cat__ChargerID_164,0.0
cat__ChargerID_161,0.0
cat__ChargerID_160,0.0
cat__ChargerID_159,0.0
cat__ChargerID_158,0.0
cat__ChargerID_157,0.0
cat__ChargerID_156,0.0
cat__ChargerID_154,0.0
cat__ChargerID_153,0.0
cat__ChargerID_152,0.0
cat__ChargerID_150,0.0
cat__ChargerID_149,0.0
cat__ChargerID_147,0.0
cat__ChargerID_185,0.0
cat__ChargerID_182,0.0
cat__ChargerID_181,0.0
cat__ChargerID_180,0.0
cat__ChargerID_178,0.0
cat__ChargerID_177,0.0
cat__ChargerID_176,0.0
cat__ChargerID_174,0.0
cat__ChargerID_173,0.0
cat__ChargerID_172,0.0
cat__ChargerID_170,0.0
cat__ChargerID_168,0.0
cat__ChargerID_167,0.0
cat__ChargerID_166,0.0
cat__ChargerID_206,0.0
cat__ChargerID_205,0.0
cat__ChargerID_204,0.0
cat__ChargerID_203,0.0
