Hour,count,mean,sum
0,165,26.249454545454544,4331.16
1,92,23.94586956521739,2203.02
2,35,27.83742857142857,974.31
3,26,16.104230769230767,418.71
4,38,16.607894736842105,631.1
5,151,14.810662251655629,2236.41
6,325,16.0792,5225.74
7,532,16.710432330827068,8889.95
8,851,17.774653349001174,15126.23
9,762,14.500813648293965,11049.62
10,661,14.079576399394856,9306.6
11,634,15.064921135646687,9551.16
12,772,14.282474093264248,11026.07
13,801,14.544544319600499,11650.18
14,775,15.026658064516129,11645.66
15,826,14.592058111380146,12053.04
16,999,16.33215215215215,16315.82
17,1141,17.651709027169147,20140.6
18,1269,19.10189913317573,24240.31
19,1116,20.087571684587815,22417.73
20,983,21.74230925737538,21372.69
21,831,21.745499398315282,18070.51
22,517,24.895531914893617,12870.99
23,270,25.245592592592594,6816.31
