ChargerID,PreviousChargerDemand
1,32.73
2,0.14
3,16.4
5,49.3
7,8.26
8,10.63
9,18.18
10,6.11
13,12.2
14,5.38
15,38.8
16,16.0
17,5.95
18,6.07
19,3.11
20,22.4
21,19.3
22,21.0
23,37.25
24,35.0
25,11.56
26,22.34
27,30.3
28,5.0
29,13.1
30,39.51
32,9.87
33,46.79
34,21.8
37,22.2
38,30.61
42,52.43
43,27.84
44,10.0
45,29.8
46,50.6
48,9.4
49,47.77
50,3.5
52,11.1
54,5.23
55,10.06
56,15.15
59,14.6
60,22.38
61,11.3
62,8.83
64,9.3
65,12.9
66,16.43
68,39.3
69,56.5
72,6.7
73,5.7
74,17.6
76,10.9
77,14.09
79,14.7
80,16.27
81,3.18
82,41.7
83,11.15
84,4.57
85,12.62
87,39.06
88,0.1
89,18.59
90,9.49
91,24.84
92,16.1
93,11.3
95,37.63
96,15.17
97,44.59
99,12.44
100,7.4
101,37.3
102,10.89
103,3.8
104,22.31
105,6.37
107,17.9
108,6.47
109,0.3
110,1.99
111,5.22
112,8.81
113,11.2
114,14.2
116,3.8
117,0.32
118,5.2
119,22.3
120,19.91
121,1.28
123,8.5
125,24.24
126,10.23
127,6.71
128,11.0
129,3.93
130,22.3
132,9.94
134,1.2
136,38.2
137,18.18
139,9.6
140,13.6
145,17.8
146,11.4
147,2.5
149,37.06
150,17.26
152,45.45
153,6.9
154,30.8
155,18.2
156,7.49
157,3.42
158,19.31
159,13.5
160,8.82
161,1.9
162,39.54
163,52.3
164,8.81
166,0.2
167,5.23
168,34.94
170,5.7
171,43.81
172,14.69
173,5.58
174,0.85
175,11.15
176,36.5
177,32.3
178,6.74
180,6.7
181,44.82
182,9.72
185,8.97
187,24.1
188,53.6
189,3.7
190,11.73
191,47.96
194,6.0
195,0.12
198,3.17
199,3.89
200,18.3
202,7.6
203,45.12
204,3.2
205,4.43
206,13.57
208,3.6
210,10.44
211,19.11
213,5.9
214,44.86
215,12.87
217,6.68
219,57.05
221,11.94
222,22.3
224,8.09
225,6.6
226,11.7
227,4.8
230,9.62
232,15.5
233,4.2
234,11.47
235,18.6
236,8.74
237,30.31
238,7.03
242,24.76
244,8.54
246,13.58
248,15.24
249,8.26
250,45.2
251,42.06
252,16.92
253,3.21
254,3.03
257,6.43
258,19.06
260,4.53
262,20.79
263,18.19
264,11.2
265,34.75
267,54.2
269,4.21
270,9.43
273,29.62
274,31.73
275,7.5
277,9.56
278,4.3
279,3.0
281,15.27
283,18.2
284,27.2
285,30.4
286,1.8
287,10.8
289,12.34
