Location,Hour,LocationHourHistoricalMean
accommodation,0,32.79666666666667
accommodation,1,17.83
accommodation,2,6.59
accommodation,5,6.06
accommodation,6,22.29
accommodation,8,4.65
accommodation,10,16.375
accommodation,14,11.1
accommodation,15,11.1
accommodation,16,3.16
accommodation,17,23.580000000000002
accommodation,18,15.03
accommodation,19,19.68142857142857
accommodation,20,25.985333333333337
accommodation,21,31.826888888888888
accommodation,22,34.38666666666667
accommodation,23,37.49
apartment,0,29.61804
apartment,1,31.013398058252427
apartment,2,26.943653846153843
apartment,3,24.050256410256413
apartment,4,23.639268292682928
apartment,5,17.11093333333333
apartment,6,16.656433566433567
apartment,7,15.76896265560166
apartment,8,16.314096774193548
apartment,9,14.206591422121898
apartment,10,11.9128716904277
apartment,11,12.436811594202897
apartment,12,14.235074946466808
apartment,13,13.532796420581656
apartment,14,14.281510934393639
apartment,15,14.982307692307693
apartment,16,16.65095066185319
apartment,17,18.405851142225497
apartment,18,20.026078280890253
apartment,19,21.437051569506725
apartment,20,22.130153374233128
apartment,21,24.232366972477063
apartment,22,23.834634146341465
apartment,23,27.718201160541586
bus garage,7,26.52
bus garage,8,27.0125
bus garage,9,7.4
bus garage,10,40.620000000000005
bus garage,12,39.2
bus garage,14,14.17
bus garage,15,33.26
bus garage,16,46.92
bus garage,17,12.3
bus garage,18,23.94666666666667
bus garage,19,26.26
bus garage,20,10.77
camping,0,25.91304347826087
camping,1,23.73625
camping,2,29.13
camping,3,20.40222222222222
camping,4,18.860000000000003
camping,5,19.926774193548386
camping,6,22.552727272727275
camping,7,22.872075471698114
camping,8,20.086862745098042
camping,9,16.655714285714286
camping,10,15.887368421052633
camping,11,14.834736842105263
camping,12,16.22255319148936
camping,13,16.425238095238097
camping,14,16.42388888888889
camping,15,17.99081081081081
camping,16,21.62818181818182
camping,17,25.38203539823009
camping,18,26.761986301369863
camping,19,27.500649350649354
camping,20,33.06693548387097
camping,21,32.348137254901964
camping,22,26.588064516129034
camping,23,35.31476923076923
company,0,27.877777777777776
company,1,21.15277777777778
company,2,19.818
company,3,15.781538461538462
company,4,10.01157894736842
company,5,14.240377358490566
company,6,17.813898305084745
company,7,18.724918032786885
company,8,19.03793587174349
company,9,14.945650557620818
company,10,11.133931623931625
company,11,12.708421052631579
company,12,11.75140350877193
company,13,12.221631419939577
company,14,15.495860349127183
company,15,12.334185463659148
company,16,13.321748366013072
company,17,14.926105417276721
company,18,16.202309058614563
company,19,16.860901639344263
company,20,19.841849529780564
company,21,23.251567164179104
company,22,26.267337662337663
company,23,26.833363636363636
golf,0,46.14222222222222
golf,1,38.56
golf,2,38.74666666666666
golf,5,20.698
golf,6,21.03527777777778
golf,7,17.307866666666666
golf,8,12.564833333333333
golf,9,9.88659090909091
golf,10,13.578714285714286
golf,11,13.32346153846154
golf,12,15.993166666666667
golf,13,14.026315789473685
golf,14,9.220714285714285
golf,15,12.594615384615384
golf,16,11.299024390243902
golf,17,19.055652173913042
golf,18,20.83666666666667
golf,19,19.08076923076923
golf,20,13.9074
golf,21,32.03
golf,22,36.111739130434785
golf,23,41.14473684210526
hotel,0,19.52267441860465
hotel,1,14.825806451612904
hotel,2,22.39
hotel,3,12.709999999999999
hotel,4,14.671428571428573
hotel,5,16.19
hotel,6,11.472063492063493
hotel,7,15.546960784313725
hotel,8,14.004781144781145
hotel,9,10.944009546539379
hotel,10,10.073283582089552
hotel,11,10.103186119873817
hotel,12,9.779541984732825
hotel,13,11.146772908366534
hotel,14,11.396857142857142
hotel,15,13.3474931880109
hotel,16,13.526913580246914
hotel,17,14.277826086956523
hotel,18,15.830257104194857
hotel,19,17.14377245508982
hotel,20,18.87547202797203
hotel,21,19.17540772532189
hotel,22,19.377047970479705
hotel,23,22.382846715328466
market,0,38.87166666666667
market,1,42.00476190476191
market,2,32.02
market,3,25.1325
market,4,16.06
market,5,31.893333333333334
market,6,20.2075
market,7,11.898181818181818
market,8,23.037847533632284
market,9,19.97941176470588
market,10,15.81640776699029
market,11,16.856076923076923
market,12,13.788589743589743
market,13,13.112285714285715
market,14,14.716243654822335
market,15,13.889751243781095
market,16,14.70888888888889
market,17,16.225149700598802
market,18,12.209830508474576
market,19,12.866012269938649
market,20,17.234789915966388
market,21,19.338481012658228
market,22,19.123170731707315
market,23,33.254074074074076
public area,0,26.37543046357616
public area,1,23.87719512195122
public area,2,26.21195652173913
public area,3,25.754666666666665
public area,4,22.830000000000002
public area,5,18.805057471264366
public area,6,16.082542372881356
public area,7,18.116155555555558
public area,8,16.823034482758622
public area,9,15.612355430183356
public area,10,14.296557377049181
public area,11,13.005756457564576
public area,12,14.309931623931623
public area,13,13.929226190476191
public area,14,14.06626003210273
public area,15,14.516171243941843
public area,16,16.857576177285317
public area,17,18.412324510932105
public area,18,17.859592549476133
public area,19,20.277234042553193
public area,20,21.915343383584588
public area,21,25.58888045540797
public area,22,25.41377521613833
public area,23,33.52122448979592
public institution,0,22.615952380952383
public institution,1,24.69709677419355
public institution,2,18.406875
public institution,3,15.861
public institution,4,13.417916666666665
public institution,5,12.042068965517242
public institution,6,12.646043956043956
public institution,7,17.329133858267717
public institution,8,20.721127659574467
public institution,9,14.519769452449566
public institution,10,14.463629893238435
public institution,11,14.119163636363636
public institution,12,12.083800904977375
public institution,13,14.688855585831064
public institution,14,13.918786982248522
public institution,15,14.33297157622739
public institution,16,17.851534653465347
public institution,17,17.488126801152738
public institution,18,20.053168044077136
public institution,19,22.124084084084082
public institution,20,24.14782918149466
