Location,SessionCount,TotalDuration,AverageDuration,TotalDemand,AverageDemand
accommodation,9,1930,214.44444444444446,221.82000000000002,24.64666666666667
apartment,2929,687261,234.64015022191873,54520.54,18.61404574940253
bus garage,6,182,30.333333333333332,198.63,33.105
camping,303,79069,260.95379537953795,8435.22,27.839009900990096
company,1175,189857,161.5804255319149,20326.63,17.299259574468085
golf,190,32931,173.32105263157894,3072.48,16.170947368421054
hotel,1668,242906,145.6270983213429,24537.9,14.710971223021584
market,557,44174,79.30700179533214,9180.88,16.482728904847395
public area,3041,380464,125.11147648799736,53021.41,17.43551792173627
public institution,1411,161091,114.16796598157335,24856.3,17.616087880935506
public parking lot,667,32984,49.45127436281859,12536.97,18.796056971514243
resort,1831,341131,186.30857454942654,33987.84,18.56244675040961
restaurant,489,65223,133.38036809815952,8984.75,18.373721881390594
sightseeing,296,16467,55.63175675675676,4682.55,15.819425675675676
